user_input,retrieved_contexts,response
¿Qué relación tuvo Sorolla con otros artistas de su época?,"Sala III: El estudio de Sorolla, el espacio más representativo del Museo. Uno de los talleres de artista mejor conservados.Conserva todavía los utensilios de trabajo del pintor (caballetes, paletas, pinceles) así como otros objetos artísticos de los que le gustaba rodearse. El estudio contiene algunas de las obras más conocidas del artista, como la emblemática ""Paseo a orillas del mar""

.Sorolla no se identificó con los impresionistas pero conoció bien las obras de estos artistas y asimiló su nuevo uso del color, su forma de aplicarlo en pinceladas independientes, apenas mezcladas, para conservar su frescura, sus formas de composición inspiradas en el reciente invento de la fotografía, y sobre todo su absoluta creencia en la necesidad de pintar del natural y, a ser posible, al aire libre

. Este estaba compuesta en un primer momento por los hijos de Sorolla; María, Joaquín y Elena; representantes de diversas instituciones estatales; el Jefe del Estado, que ocupaba la presidencia; el Ministro de Instrucción Pública y Bellas Artes; así como el presidente de la Hispanic Society of America,​ para la cual el pintor había realizado uno de los proyectos más ambiciosos de toda su producción artística

Joaquín Sorolla y Bastida (Valencia, 27 de febrero de 1863-Cercedilla, 10 de agosto de 1923) fue un pintor español. Artista prolífico, dejó más de 2200 obras catalogadas. Su obra madura ha sido etiquetada como impresionista, postimpresionista y luminista.","No he encontrado información que detalle específicamente la relación de Sorolla con otros artistas de su época, más allá de que conoció y asimiló el estilo de los impresionistas, aunque no se identificó con ellos."
¿Cómo ha evolucionado el Museo Sorolla desde su fundación?,". Desde 1993 la Fundación es una entidad jurídicamente distinta del Museo, pero continúa teniendo su sede en el propio Museo y trabaja en estrecha colaboración con él. Según sus Estatutos: La Fundación “Museo Sorolla” es una Fundación Cultural Privada sin fin de lucro, que tiene afectado de modo duradero su patrimonio a la realización de los fines de interés general que se detallan en el artículo 3 sus Estatutos

. El museo se inauguró en 1932, abriendo al público su planta principal. Era director Joaquín Sorolla y García, hijo del pintor.En aquellos primeros años la labor de Joaquín Sorolla García fue, por un lado, la de conservar la casa museo tal y como él la había conocido como habitante de la misma y, por otro lado, acometer las primeras labores museográficas de la institución

# Datos identificativos del Museo: El Museo Sorolla es un museo de titularidad estatal y gestión directa del Ministerio de Cultura y Deporte, que depende orgánicamente de la Dirección General de Patrimonio Cultural y Bellas Artes a través de la Subdirección General de Museos Estatales. Está dedicado a mostrar la obra del pintor Joaquín Sorolla (Valencia, 1863-Cercedilla, Madrid 1923). Fue creado en 1931, al aceptar el Estado español el legado de la viuda de Sorolla, D

. El Museo Sorolla es desde entonces un museo de titularidad estatal y de gestión directa del Ministerio de Cultura. La Fundación Museo Sorolla sigue funcionando y trabajando en estrecha colaboración con el Museo.","El Museo Sorolla ha evolucionado significativamente desde su fundación en 1931. Inicialmente, se centró en conservar la casa museo tal como la conocía Joaquín Sorolla y García, hijo del pintor, quien fue su primer director. En sus primeros años, se llevaron a cabo las primeras labores museográficas de la institución. Con el tiempo, el museo ha seguido funcionando como un museo de titularidad estatal y gestión directa del Ministerio de Cultura, mostrando la obra del pintor Joaquín Sorolla. Además, desde 1993, la Fundación Museo Sorolla se estableció como una entidad jurídicamente distinta del museo, pero sigue trabajando en estrecha colaboración con él."
¿Qué técnicas de conservación se aplican a las obras?,"# Quejas y sugerencias
Los usuarios podrán presentar sus quejas y sugerencias sobre el funcionamiento del servicio, en las formas que se señalan a continuación:
- De forma presencial en el Museo, en los registros de recepción y salida de la Administración General del Estado y en los lugares previstos en el artículo 16 de la Ley 39/2015, de 1 de octubre, del Procedimiento Administrativo Común de las Administraciones Públicas.

. Además, siguió con su pintura de denuncia social que tantos éxitos le había reportado en los últimos años con obras como Y aún dicen que el pescado es caro (1894).​

El edificio fue construido en 1911 bajo la dirección del arquitecto Enrique María Repullés, que materializó los deseos del pintor de crear un espacio que fusionase el área de trabajo y su vivienda y que además contase con un espacio de jardín. La vivienda conserva el ambiente original de muchos de los espacios, además de alojar una amplia colección de obras de Sorolla, así como también numerosos objetos que reunió como coleccionista durante su vida

. Desnudo.​ También cuenta con 164 obras de otros pintores como Aureliano de Beruete, Anders Zorn o Martín Rico Ortega.",No he encontrado información sobre las técnicas de conservación aplicadas a las obras en el contexto proporcionado.
¿Qué papel tuvo la familia de Sorolla en su carrera?,". En vida de Joaquín Sorolla esta estancia tuvo diversos usos: sirvió como estudio para exponer la obra del pintor, aquí se organizó en 1912 la exposición homenaje al pintor Aureliano Beruete, íntimo amigo de Sorolla y, seguramente, fue el espacio donde se almacenaron los cuadros para el encargo de la Hispanic Society of America de Nueva York, que por contrato no podían verse antes de su inauguración en EEUU

# El edificio del museo: la casa Sorolla. Desde sus primeras estancias en Madrid en la década de 1880 hasta la construcción de su casa en 1911, Sorolla tuvo diversos estudios y domicilios en distintos lugares de la ciudad (Plaza el Progreso, Pasaje de la Alhambra, calle Miguel Ángel), y poco a poco se fue formando una idea muy clara de lo que quería para vivir y trabajar, especialmente a partir de su estancia en el último estudio-vivienda de la calle Miguel Ángel.

Muerto Joaquín Sorolla García el 2 de marzo de 1948 y como expresaba en su testamento, sus propiedades pasaron a la Fundación del Museo​ y tres años después, por una Orden Ministerial del 16 de julio de 1951, se acepta su legado y se añade al de su madre,​ sumándose 156 obras más a los fondos de la Fundación.​ La dirección fue asumida por Francisco Pons-Sorolla, nieto del pintor e hijo de María Sorolla García y Francisco Pons Arnau

. Este estaba compuesta en un primer momento por los hijos de Sorolla; María, Joaquín y Elena; representantes de diversas instituciones estatales; el Jefe del Estado, que ocupaba la presidencia; el Ministro de Instrucción Pública y Bellas Artes; así como el presidente de la Hispanic Society of America,​ para la cual el pintor había realizado uno de los proyectos más ambiciosos de toda su producción artística","No he encontrado información específica sobre el papel de la familia de Sorolla en su carrera en el contexto proporcionado. Sin embargo, se menciona que la dirección del museo fue asumida por Francisco Pons-Sorolla, nieto del pintor, y que los hijos de Sorolla (María, Joaquín y Elena) formaban parte de la composición inicial de la Fundación del Museo. Esto sugiere que la familia de Sorolla estuvo involucrada en la gestión y preservación de su legado, pero no se proporciona información detallada sobre su papel en su carrera como pintor."
Háblame de la estructura del Museo Sorolla.,"# Datos identificativos del Museo: El Museo Sorolla es un museo de titularidad estatal y gestión directa del Ministerio de Cultura y Deporte, que depende orgánicamente de la Dirección General de Patrimonio Cultural y Bellas Artes a través de la Subdirección General de Museos Estatales. Está dedicado a mostrar la obra del pintor Joaquín Sorolla (Valencia, 1863-Cercedilla, Madrid 1923). Fue creado en 1931, al aceptar el Estado español el legado de la viuda de Sorolla, D

# Titularidad y gestión: El Museo Sorolla es un museo de titularidad estatal y gestión directa del Ministerio de Cultura. Se rige por la Ley 16/1985, de 25 de junio, de Patrimonio Histórico EspañolEnlace externo, se abre en ventana nueva Nueva ventanay por el Reglamento de Museos de Titularidad Estatal y del Sistema Español de Museos (RD 620/1987, de 10 de abril)Enlace externo, se abre en ventana nueva Nueva ventana.

# Dirección: Enrique Varela Agüí

. El Museo Sorolla es desde entonces un museo de titularidad estatal y de gestión directa del Ministerio de Cultura. La Fundación Museo Sorolla sigue funcionando y trabajando en estrecha colaboración con el Museo.

. Este RD establece en su artículo 2 que “el Museo Sorolla, integrado como museo de titularidad estatal en la Dirección de Museos Estatales de la Dirección General de Bellas Artes y Archivos del Ministerio de Cultura, se regirá por el Reglamento de Museos de titularidad estatal y del Sistema Español de Museos aprobado por Real Decreto 620/1987, de 10 de abril.” En el mismo artículo se deroga el anterior Reglamento del museo (1932)","No he encontrado información sobre la estructura del Museo Sorolla en el contexto proporcionado. El contexto se centra en la titularidad, gestión y legislación que rige el museo, pero no proporciona detalles sobre su estructura."
Háblame de las salas del Museo Sorolla,"# Datos identificativos del Museo: El Museo Sorolla es un museo de titularidad estatal y gestión directa del Ministerio de Cultura y Deporte, que depende orgánicamente de la Dirección General de Patrimonio Cultural y Bellas Artes a través de la Subdirección General de Museos Estatales. Está dedicado a mostrar la obra del pintor Joaquín Sorolla (Valencia, 1863-Cercedilla, Madrid 1923). Fue creado en 1931, al aceptar el Estado español el legado de la viuda de Sorolla, D

# Historia de la Fundación: La Fundación Museo Sorolla se creó a partir del Legado de Clotilde García del Castillo, viuda del pintor, que en su testamento de 1925 legó al Estado Español los “cuadros, apuntes y dibujos” de Joaquín Sorolla que a ella pertenecían y la casa familiar con los objetos artísticos allí colocados, para que se creara un museo en memoria de su marido

Servicios del Museo

# #Exposición permanente
El Museo Sorolla presenta una amplia colección de las obras maestras del pintor valenciano, así como los muebles, objetos y piezas artísticas de otros autores que formaron parte de su vida cotidiana y de su intimidad creadora y vital, todo ello en la casa-estudio que el propio artista se hizo construir en Madrid.","No he encontrado información específica sobre las salas del Museo Sorolla en el contexto proporcionado. Sin embargo, puedo decirte que el museo se encuentra en la casa-estudio que el propio artista se hizo construir en Madrid y que alberga una amplia colección de las obras maestras de Joaquín Sorolla, así como los muebles, objetos y piezas artísticas que formaron parte de su vida cotidiana y de su intimidad creadora y vital."
¿Cuál es la simbología del mar en su pintura?,". Necesitó casi todo el año de 1912 para viajar por todo el país, haciendo bocetos y trabajos de costumbres y paisajes. De esta tarea destacan los óleos pintados en 1916 dedicados a niños y mujeres en las playas de Valencia, donde predomina la libertad de pincelada y la luz de su tierra. Algunos ejemplos son Madre e hija o Pescadora valenciana.

. La exposición se muestra a continuación en la Fine Arts Academy de Búfalo y en la Copley Society de Boston. Ese verano, en un clima de euforia por el éxito obtenido, lo pasa en Valencia con su familia, y en sus playas realiza Sorolla algunas de sus obras más famosas: Paseo a orillas del mar, El baño del caballo o El balandrito. 1910: Sorolla comienza a construir su casa en el entonces Paseo del Obelisco, hoy Pº del General Martínez Campos 37

. El comedor de la Casa Sorolla es una estancia elegante, decorada con un alto zócalo de mármol que combina los tonos blancos con el rojo que bordea puertas y ventanas. Es la sala mejor conservada del Museo. Todas las piezas se exponen en la ubicación exacta en la que las tenía la familia, excepto la alfombra, que no es original. Sin duda en esta sala destaca el friso de frutas pintado por Sorolla

. En 1914 había sido nombrado académico y, cuando terminó los trabajos para la Hispanic Society, trabajó como profesor de composición y color en la Escuela de Bellas Artes de Madrid. En 1920, mientras pintaba en el jardín de su casa el retrato de la mujer de Ramón Pérez de Ayala, sufrió una hemiplejia que mermó sus facultades físicas y le impidió seguir pintando. Murió tres años después en su residencia veraniega de Cercedilla el 10 de agosto de 1923.","No he encontrado información específica sobre la simbología del mar en la pintura de Sorolla en el contexto proporcionado. Sin embargo, se menciona que el mar es un tema presente en algunas de sus obras, como ""Paseo a orillas del mar"", ""El baño del caballo"" o ""El balandrito"", realizadas en las playas de Valencia. Esto sugiere que el mar podría tener un significado importante en su obra, pero no se proporciona una explicación explícita sobre su simbología."
¿Qué técnicas innovadoras introdujo Sorolla en su obra?,". En vida de Joaquín Sorolla esta estancia tuvo diversos usos: sirvió como estudio para exponer la obra del pintor, aquí se organizó en 1912 la exposición homenaje al pintor Aureliano Beruete, íntimo amigo de Sorolla y, seguramente, fue el espacio donde se almacenaron los cuadros para el encargo de la Hispanic Society of America de Nueva York, que por contrato no podían verse antes de su inauguración en EEUU

. Este estaba compuesta en un primer momento por los hijos de Sorolla; María, Joaquín y Elena; representantes de diversas instituciones estatales; el Jefe del Estado, que ocupaba la presidencia; el Ministro de Instrucción Pública y Bellas Artes; así como el presidente de la Hispanic Society of America,​ para la cual el pintor había realizado uno de los proyectos más ambiciosos de toda su producción artística

Las colecciones del museo están compuestas por obras del propio Sorolla, objetos personales, así como muchos otros que como coleccionista reunió durante su vida. Del mismo modo, entre la colección se encuentran obras de sus familiares más allegados, como sus hijas María y Helena Sorolla, y de su yerno, Francisco Pons Arnau. La mayor parte de esta proviene del legado y las donaciones realizadas por los propios familiares del pintor, como son su mujer y sus tres hijos

. Con María ya recuperándose, la familia Sorolla pasa el verano en La Granja donde Sorolla retrata a los reyes y donde realiza obras como María en La Granja o Saltando a la comba y donde empieza a tantear la pintura de jardines.1908: Expone en las Grafton Galleries de Londres 278 obras. Durante esta exposición tiene lugar un acontecimiento de gran trascendencia para Sorolla, la visita del filántropo norteamericano Archer M",No he encontrado información sobre las técnicas innovadoras que introdujo Sorolla en su obra en el contexto proporcionado.
¿Qué relación tenía Sorolla con la fotografía?,"-Fotografía antigua: Esta colección es la más extensa del Museo, con 7167 fotografías (copias originales en papel, negativos originales o positivos modernos).​ Esta colección fotográfica se debe, en gran medida, a Antonio García Peris, suegro de Sorolla, quien retrató a los miembros de la familia en múltiples ocasiones. El propio pintor también usaría la fotografía como instrumento de documentación para algunos de sus proyectos, como el encargo de la Hispanic Society

.Sorolla no se identificó con los impresionistas pero conoció bien las obras de estos artistas y asimiló su nuevo uso del color, su forma de aplicarlo en pinceladas independientes, apenas mezcladas, para conservar su frescura, sus formas de composición inspiradas en el reciente invento de la fotografía, y sobre todo su absoluta creencia en la necesidad de pintar del natural y, a ser posible, al aire libre

. La amplitud de esta sala bañada por la luz natural, gracias a la presencia de grandes claraboyas y ventanales, la abundancia de objetos personales y de trabajo, y la cantidad y calidad de cuadros de Sorolla que cuelgan de sus paredes, hacen de este espacio un lugar único, detenido en el tiempo, donde la personalidad de Sorolla no se manifiesta solo en su obra pictórica, sino también en un ambiente, en un espacio vivido

. Este estaba compuesta en un primer momento por los hijos de Sorolla; María, Joaquín y Elena; representantes de diversas instituciones estatales; el Jefe del Estado, que ocupaba la presidencia; el Ministro de Instrucción Pública y Bellas Artes; así como el presidente de la Hispanic Society of America,​ para la cual el pintor había realizado uno de los proyectos más ambiciosos de toda su producción artística","Sorolla utilizaba la fotografía como instrumento de documentación para algunos de sus proyectos, como el encargo de la Hispanic Society. Además, su estilo de pintura se vio influenciado por la fotografía, ya que asimiló la forma en que los impresionistas se inspiraron en este medio para componer sus obras y capturar la luz y el color de manera fresca y natural."
¿Qué premios recibió Sorolla durante su carrera?,"# Datos identificativos del Museo: El Museo Sorolla es un museo de titularidad estatal y gestión directa del Ministerio de Cultura y Deporte, que depende orgánicamente de la Dirección General de Patrimonio Cultural y Bellas Artes a través de la Subdirección General de Museos Estatales. Está dedicado a mostrar la obra del pintor Joaquín Sorolla (Valencia, 1863-Cercedilla, Madrid 1923). Fue creado en 1931, al aceptar el Estado español el legado de la viuda de Sorolla, D

El Museo Sorolla es un museo estatal español ubicado en un palacete del paseo del General Martínez Campos de Madrid, emplazamiento que sirvió de taller y vivienda al pintor Joaquín Sorolla (1863-1923) junto a su mujer, Clotilde García del Castillo, y sus tres hijos.

. En vida de Joaquín Sorolla esta estancia tuvo diversos usos: sirvió como estudio para exponer la obra del pintor, aquí se organizó en 1912 la exposición homenaje al pintor Aureliano Beruete, íntimo amigo de Sorolla y, seguramente, fue el espacio donde se almacenaron los cuadros para el encargo de la Hispanic Society of America de Nueva York, que por contrato no podían verse antes de su inauguración en EEUU

Sala III: El estudio de Sorolla, el espacio más representativo del Museo. Uno de los talleres de artista mejor conservados.Conserva todavía los utensilios de trabajo del pintor (caballetes, paletas, pinceles) así como otros objetos artísticos de los que le gustaba rodearse. El estudio contiene algunas de las obras más conocidas del artista, como la emblemática ""Paseo a orillas del mar""",No he encontrado información sobre los premios recibidos por Sorolla durante su carrera en el contexto proporcionado.
Resume la historia de Joaquín Sorolla en 5 frases.,". En vida de Joaquín Sorolla esta estancia tuvo diversos usos: sirvió como estudio para exponer la obra del pintor, aquí se organizó en 1912 la exposición homenaje al pintor Aureliano Beruete, íntimo amigo de Sorolla y, seguramente, fue el espacio donde se almacenaron los cuadros para el encargo de la Hispanic Society of America de Nueva York, que por contrato no podían verse antes de su inauguración en EEUU

# Fechas importantes de la vida de Joaquín Sorolla: 1863: El 27 de febrero de 1863 nace Joaquín Sorolla en Valencia. Sus padres Joaquín Sorolla Garcón y María Concepción Bastida Prat son modestos comerciantes de telas, que mueren en una epidemia cuando Sorolla apenas contaba dos años. Es recogido junto con su hermana por sus tíos maternos

Sede
La casa-museo Sorolla, situada en el Paseo del General Martínez Campos n.º 37 en Madrid, fue construida en 1911, materializando los deseos del pintor Joaquín Sorolla y Bastida de crear un espacio que fusionase el área de trabajo y su vivienda, y que además contase con un espacio de jardín.

Joaquín Sorolla y Bastida (Valencia, 27 de febrero de 1863-Cercedilla, 10 de agosto de 1923) fue un pintor español. Artista prolífico, dejó más de 2200 obras catalogadas. Su obra madura ha sido etiquetada como impresionista, postimpresionista y luminista.","Joaquín Sorolla nació el 27 de febrero de 1863 en Valencia, España. Sus padres, Joaquín Sorolla Garcón y María Concepción Bastida Prat, eran comerciantes de telas y fallecieron cuando Sorolla tenía solo dos años. Fue criado por sus tíos maternos junto con su hermana. Sorolla se convirtió en un pintor prolífico, dejando más de 2200 obras catalogadas, y su estilo ha sido etiquetado como impresionista, postimpresionista y luminista. Finalmente, falleció el 10 de agosto de 1923 en Cercedilla."
Resume la historia del Museo Sorolla en 5 frases.,"# Datos identificativos del Museo: El Museo Sorolla es un museo de titularidad estatal y gestión directa del Ministerio de Cultura y Deporte, que depende orgánicamente de la Dirección General de Patrimonio Cultural y Bellas Artes a través de la Subdirección General de Museos Estatales. Está dedicado a mostrar la obra del pintor Joaquín Sorolla (Valencia, 1863-Cercedilla, Madrid 1923). Fue creado en 1931, al aceptar el Estado español el legado de la viuda de Sorolla, D

# Historia de la Fundación: La Fundación Museo Sorolla se creó a partir del Legado de Clotilde García del Castillo, viuda del pintor, que en su testamento de 1925 legó al Estado Español los “cuadros, apuntes y dibujos” de Joaquín Sorolla que a ella pertenecían y la casa familiar con los objetos artísticos allí colocados, para que se creara un museo en memoria de su marido

El Museo Sorolla es un museo estatal español ubicado en un palacete del paseo del General Martínez Campos de Madrid, emplazamiento que sirvió de taller y vivienda al pintor Joaquín Sorolla (1863-1923) junto a su mujer, Clotilde García del Castillo, y sus tres hijos.

# Titularidad y gestión: El Museo Sorolla es un museo de titularidad estatal y gestión directa del Ministerio de Cultura. Se rige por la Ley 16/1985, de 25 de junio, de Patrimonio Histórico EspañolEnlace externo, se abre en ventana nueva Nueva ventanay por el Reglamento de Museos de Titularidad Estatal y del Sistema Español de Museos (RD 620/1987, de 10 de abril)Enlace externo, se abre en ventana nueva Nueva ventana.

# Dirección: Enrique Varela Agüí","El Museo Sorolla es un museo estatal español ubicado en Madrid, dedicado a mostrar la obra del pintor Joaquín Sorolla. Fue creado en 1931, después de que la viuda de Sorolla, Clotilde García del Castillo, legara al Estado español la casa familiar y la obra de su marido para que se creara un museo en su memoria. La casa, un palacete en el paseo del General Martínez Campos, sirvió de taller y vivienda a la familia Sorolla. El museo se rige por la Ley de Patrimonio Histórico Español y el Reglamento de Museos de Titularidad Estatal. Actualmente, el museo es gestionado directamente por el Ministerio de Cultura y Deporte, con Enrique Varela Agüí como director."
Háblame de la infancia de Joaquín Sorolla.,"Joaquín Sorolla y Bastida (Valencia, 27 de febrero de 1863-Cercedilla, 10 de agosto de 1923) fue un pintor español. Artista prolífico, dejó más de 2200 obras catalogadas. Su obra madura ha sido etiquetada como impresionista, postimpresionista y luminista.

SALA I- Biografía: Joaquín Sorolla (1863-1923) es uno de los grandes nombres de la pintura española del siglo XX, y ha llegado hasta nosotros como el creador de la imagen optimista de una España luminosa y mediterránea. Junto con Velázquez y Goya, Sorolla es, probablemente, el artista español más querido y popular.Su pintura se enmarca en las corrientes naturalistas de fin de siglo, y numerosos especialistas se han referido a ella como “impresionista” o “luminista”

# Fechas importantes de la vida de Joaquín Sorolla: 1863: El 27 de febrero de 1863 nace Joaquín Sorolla en Valencia. Sus padres Joaquín Sorolla Garcón y María Concepción Bastida Prat son modestos comerciantes de telas, que mueren en una epidemia cuando Sorolla apenas contaba dos años. Es recogido junto con su hermana por sus tíos maternos

. En vida de Joaquín Sorolla esta estancia tuvo diversos usos: sirvió como estudio para exponer la obra del pintor, aquí se organizó en 1912 la exposición homenaje al pintor Aureliano Beruete, íntimo amigo de Sorolla y, seguramente, fue el espacio donde se almacenaron los cuadros para el encargo de la Hispanic Society of America de Nueva York, que por contrato no podían verse antes de su inauguración en EEUU","Joaquín Sorolla nació en Valencia el 27 de febrero de 1863. Sus padres, Joaquín Sorolla Garcón y María Concepción Bastida Prat, eran modestos comerciantes de telas. Desafortunadamente, murieron en una epidemia cuando Sorolla apenas contaba con dos años de edad. Tras la muerte de sus padres, Sorolla y su hermana fueron recogidos por sus tíos maternos."
Háblame del estilo artístico de Joaquín Sorolla.,"Joaquín Sorolla y Bastida (Valencia, 27 de febrero de 1863-Cercedilla, 10 de agosto de 1923) fue un pintor español. Artista prolífico, dejó más de 2200 obras catalogadas. Su obra madura ha sido etiquetada como impresionista, postimpresionista y luminista.

SALA I- Biografía: Joaquín Sorolla (1863-1923) es uno de los grandes nombres de la pintura española del siglo XX, y ha llegado hasta nosotros como el creador de la imagen optimista de una España luminosa y mediterránea. Junto con Velázquez y Goya, Sorolla es, probablemente, el artista español más querido y popular.Su pintura se enmarca en las corrientes naturalistas de fin de siglo, y numerosos especialistas se han referido a ella como “impresionista” o “luminista”

.Sorolla no se identificó con los impresionistas pero conoció bien las obras de estos artistas y asimiló su nuevo uso del color, su forma de aplicarlo en pinceladas independientes, apenas mezcladas, para conservar su frescura, sus formas de composición inspiradas en el reciente invento de la fotografía, y sobre todo su absoluta creencia en la necesidad de pintar del natural y, a ser posible, al aire libre

. En vida de Joaquín Sorolla esta estancia tuvo diversos usos: sirvió como estudio para exponer la obra del pintor, aquí se organizó en 1912 la exposición homenaje al pintor Aureliano Beruete, íntimo amigo de Sorolla y, seguramente, fue el espacio donde se almacenaron los cuadros para el encargo de la Hispanic Society of America de Nueva York, que por contrato no podían verse antes de su inauguración en EEUU","El estilo artístico de Joaquín Sorolla se enmarca en las corrientes naturalistas de fin de siglo y ha sido etiquetado como impresionista, postimpresionista y luminista. Aunque Sorolla no se identificó directamente con los impresionistas, asimiló técnicas y principios de este movimiento, como el uso del color en pinceladas independientes y la importancia de pintar del natural y al aire libre. Su obra refleja una imagen optimista de una España luminosa y mediterránea, caracterizada por un uso fresco y vibrante del color."
Háblame de la relación entre Joaquín Sorolla y su esposa Clotilde.,"Joaquín Sorolla y Bastida (Valencia, 27 de febrero de 1863-Cercedilla, 10 de agosto de 1923) fue un pintor español. Artista prolífico, dejó más de 2200 obras catalogadas. Su obra madura ha sido etiquetada como impresionista, postimpresionista y luminista.

SALA I- Biografía: Joaquín Sorolla (1863-1923) es uno de los grandes nombres de la pintura española del siglo XX, y ha llegado hasta nosotros como el creador de la imagen optimista de una España luminosa y mediterránea. Junto con Velázquez y Goya, Sorolla es, probablemente, el artista español más querido y popular.Su pintura se enmarca en las corrientes naturalistas de fin de siglo, y numerosos especialistas se han referido a ella como “impresionista” o “luminista”

Joaquín Sorolla 
Información personal
Nombre de nacimiento	Joaquín Sorolla Bastida
Nacimiento	27 de febrero de 1863 
Valencia (España) 
Fallecimiento	10 de agosto de 1923  (60 años)
Cercedilla (España)
Sepultura	Cementerio General de Valencia 
Nacionalidad	Española
Familia: Cónyuge	Clotilde García del Castillo (matr. 1888)
Hijos: Joaquín Sorolla García, Elena Sorolla García, María Sorolla García
Educación: Educado en	Real Academia de Bellas Artes de San Carlos

. En vida de Joaquín Sorolla esta estancia tuvo diversos usos: sirvió como estudio para exponer la obra del pintor, aquí se organizó en 1912 la exposición homenaje al pintor Aureliano Beruete, íntimo amigo de Sorolla y, seguramente, fue el espacio donde se almacenaron los cuadros para el encargo de la Hispanic Society of America de Nueva York, que por contrato no podían verse antes de su inauguración en EEUU","No he encontrado información detallada sobre la relación entre Joaquín Sorolla y su esposa Clotilde en el contexto proporcionado. Sin embargo, puedo decir que Clotilde García del Castillo fue la esposa de Joaquín Sorolla, con quien se casó en 1888, y que juntos tuvieron tres hijos: Joaquín, Elena y María."
¿Cómo se llamaban hijos tuvo Joaquín Sorolla?,". Este estaba compuesta en un primer momento por los hijos de Sorolla; María, Joaquín y Elena; representantes de diversas instituciones estatales; el Jefe del Estado, que ocupaba la presidencia; el Ministro de Instrucción Pública y Bellas Artes; así como el presidente de la Hispanic Society of America,​ para la cual el pintor había realizado uno de los proyectos más ambiciosos de toda su producción artística

. En vida de Joaquín Sorolla esta estancia tuvo diversos usos: sirvió como estudio para exponer la obra del pintor, aquí se organizó en 1912 la exposición homenaje al pintor Aureliano Beruete, íntimo amigo de Sorolla y, seguramente, fue el espacio donde se almacenaron los cuadros para el encargo de la Hispanic Society of America de Nueva York, que por contrato no podían verse antes de su inauguración en EEUU

# Fechas importantes de la vida de Joaquín Sorolla: 1863: El 27 de febrero de 1863 nace Joaquín Sorolla en Valencia. Sus padres Joaquín Sorolla Garcón y María Concepción Bastida Prat son modestos comerciantes de telas, que mueren en una epidemia cuando Sorolla apenas contaba dos años. Es recogido junto con su hermana por sus tíos maternos

. En esta sala nos recibe la familia Sorolla a través de una selección de retratos que nos presentan a sus tres hijos: María, Joaquín y Elena y su esposa, Clotilde García del Castillo. En ellos se plasma la capacidad del artista para captar un recuerdo familiar, íntimo y personal. Retratos que nos trasladan unas veces al norte de España y a Biarrtiz y que nos dejan adivinar el veraneo elegante que compartió el pintor con su familia","Los hijos de Joaquín Sorolla se llamaban María, Joaquín y Elena."
Háblame de Joaquín Sorolla García.,"Muerto Joaquín Sorolla García el 2 de marzo de 1948 y como expresaba en su testamento, sus propiedades pasaron a la Fundación del Museo​ y tres años después, por una Orden Ministerial del 16 de julio de 1951, se acepta su legado y se añade al de su madre,​ sumándose 156 obras más a los fondos de la Fundación.​ La dirección fue asumida por Francisco Pons-Sorolla, nieto del pintor e hijo de María Sorolla García y Francisco Pons Arnau

Joaquín Sorolla 
Información personal
Nombre de nacimiento	Joaquín Sorolla Bastida
Nacimiento	27 de febrero de 1863 
Valencia (España) 
Fallecimiento	10 de agosto de 1923  (60 años)
Cercedilla (España)
Sepultura	Cementerio General de Valencia 
Nacionalidad	Española
Familia: Cónyuge	Clotilde García del Castillo (matr. 1888)
Hijos: Joaquín Sorolla García, Elena Sorolla García, María Sorolla García
Educación: Educado en	Real Academia de Bellas Artes de San Carlos

Joaquín Sorolla y Bastida (Valencia, 27 de febrero de 1863-Cercedilla, 10 de agosto de 1923) fue un pintor español. Artista prolífico, dejó más de 2200 obras catalogadas. Su obra madura ha sido etiquetada como impresionista, postimpresionista y luminista.

# Fechas importantes de la vida de Joaquín Sorolla: 1863: El 27 de febrero de 1863 nace Joaquín Sorolla en Valencia. Sus padres Joaquín Sorolla Garcón y María Concepción Bastida Prat son modestos comerciantes de telas, que mueren en una epidemia cuando Sorolla apenas contaba dos años. Es recogido junto con su hermana por sus tíos maternos","Joaquín Sorolla García fue el hijo de Joaquín Sorolla Bastida, un pintor español prolífico que dejó más de 2200 obras catalogadas. Nació en una familia de artistas y su padre fue un pintor reconocido en su época. Joaquín Sorolla García es mencionado en el contexto como el hijo de Joaquín Sorolla Bastida y Clotilde García del Castillo, y también se menciona que tuvo hermanas llamadas Elena Sorolla García y María Sorolla García. Desafortunadamente, no hay más información disponible sobre Joaquín Sorolla García en el contexto proporcionado."
